level_0,level_1,level_2,root_kc,final_cluster
建筑光环境,建筑环境设计,建筑环境与生态设计,生物与环境设计,2
建筑用地使用权,建筑用地使用权,建筑用地使用权,法律与政治制度,10
现代教学媒体,现代教学媒体,现代教学媒体,教育研究与实践,13
狂犬病毒,病毒感染,循证医学与流行病学,生物与自然科学,4
效率,效率,生长效率,经济学概念,11
红外线波长,光学性质,性质与特性,化学与物理性质,8
函数凸性,函数凸性,函数理论,科学理论与方法,9
kvl方程,方程求解方法,方程理论,科学理论与方法,9
平方试探策略,平方试探策略,平方试探策略,科学理论与方法,9
强化传热,传热学,传热学概念,热力学与化学反应,7
顺流布置,流动特性,性质与特性,化学与物理性质,8
电子取景器,电子取景器,多媒体与技术应用,教育研究与实践,13
一元弱酸的解离平衡常数,一元弱酸的解离平衡常数,一元弱酸的解离平衡常数,化学与物理性质,8
秦国,秦朝历史,秦朝历史,中东与中国历史政治研究,15
应急决策,应急决策,急救与应急管理,信息技术与管理,12
价格,成本与价格分析,分析方法,科学理论与方法,9
特点,特征与性质,性质与特性,化学与物理性质,8
webofscience,学术资源平台,学术资源平台,教育研究与实践,13
易用性,特征与性质,性质与特性,化学与物理性质,8
函数图像,函数分析,函数理论,科学理论与方法,9
样本方差,偏差与异常分析,偏差与异常分析,科学理论与方法,9
豆科牧草种子,牧草种子知识,植物景观与设计,生物与环境设计,2
平衡二叉搜索树,树结构与算法,算法优化与分析,信息技术与管理,12
气体分子,气体性质,气体性质,化学与物理性质,8
佛教徒饮茶史,茶文化,文化艺术,中东与中国历史政治研究,15
植物景观规划设计,植物景观规划设计,植物景观与设计,生物与环境设计,2
向量结构,结构类型,结构类型,类型分类,1
多媒体信息,多媒体信息,多媒体与技术应用,教育研究与实践,13
中国古代,中国古代,中国历史,中东与中国历史政治研究,15
第一电离能,第一电离能,电学原理,科学理论与方法,9
核外电子,电子学,运算放大器与电路设计,信息技术与管理,12
结构,结构类型,结构类型,类型分类,1
存货,存货,库存管理,信息技术与管理,12
质感设计,设计领域,设计领域,组织与评估设计,0
修正线性单元,线性理论,数学理论,科学理论与方法,9
礼仪,中国文化概念,中国文化概念,中东与中国历史政治研究,15
环戊甲酸合成,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
石油,石油产业,石油与能源产业,经济体系与发展,16
王莽,汉朝历史人物,中国历史,中东与中国历史政治研究,15
要约成立要件,合同法基本概念,合同法知识,法律与政治制度,10
数据对象,数据对象,数据处理与分析,信息技术与管理,12
性质,特征与性质,性质与特性,化学与物理性质,8
热力学第二定律,热力学第二定律,热力学理论,科学理论与方法,9
连续型随机变量,随机变量及其性质,随机变量及其性质,化学与物理性质,8
种子数测定,种子管理与研究,植物景观与设计,生物与环境设计,2
整体性学习,学习方法与策略,微课学习策略,教育研究与实践,13
出生证明,个人信息与信息保护,个人权利保护,法律与责任,6
传热问题,传热学,传热学概念,热力学与化学反应,7
相关系数,随机变量及其性质,随机变量及其性质,化学与物理性质,8
建设用地使用权,土地使用权与抵押权,物权法律关系,法律与政治制度,10
隐性课程,课程理论与实践,课程理论与实践,教育研究与实践,13
