level_0,level_1,level_2,root_kc,final_cluster
字符串,字符串,数据结构,数据处理与编程知识,5
分子与晶体结构,分子与晶体结构,电学原理,科学理论与方法,9
双向传递,数据处理技术,数据管理与处理,信息技术与管理,12
编译环境,编程基础知识,编程知识,数据处理与编程知识,5
分类,分类,分类,类型分类,1
内核线程,进程管理,计算机系统管理,信息技术与管理,12
PQDT博硕士论文,PQDT博硕士论文,学位论文,教育研究与实践,13
弹簧秤,弹簧秤,流体物理性质,化学与物理性质,8
后进生,后进生,因材施教,教育研究与实践,13
狙击手,狙击手,狙击手,国际关系与协议,3
贝叶斯分类,贝叶斯分类,贝叶斯分类,数据处理与编程知识,5
生产关系,生产关系,生产关系,经济学概念,11
班级管理,班级管理,教育理论与实践,教育研究与实践,13
共有物分割,共有物分割,法律责任,法律与责任,6
对象指针,编程基础知识,编程知识,数据处理与编程知识,5
商业价值,商业价值,商业价值,经济学概念,11
三家分晋,三家分晋,晋书,中国古代文化,14
毛细血管,生命科学,生物与地理科学,生物与自然科学,4
经济指标,经济指标,经济指标,经济学概念,11
动力学与能量守恒,动力学与能量守恒,物理学基本原则,科学理论与方法,9
噪声要求,噪声要求,噪声要求,组织与评估设计,0
管理学,管理学,投资收益率,经济学概念,11
未来媒介,数据处理技术,数据管理与处理,信息技术与管理,12
概率分布,概率分布,概率分布,数据处理与编程知识,5
动量,动量,动量,化学与物理性质,8
物质状态,物质状态,个人权利保护,法律与责任,6
混凝土耐久性,性质,性质与特性,化学与物理性质,8
阶次概念,阶次概念,阶次概念,阶次概念,-1
电阻的串并联,电阻,电学原理,科学理论与方法,9
大学生活,大学生活,大学生活,教育研究与实践,13
样本量估算,研究样本量,研究设计,组织与评估设计,0
驻波,驻波,驻波,化学与物理性质,8
施主能级,施主能级,施主能级,化学与物理性质,8
创新型集群,创新型集群,商业与产业,经济体系与发展,16
市场概念,市场概念,市场概念,经济学概念,11
级数与收敛性,级数与收敛性,级数与收敛性,级数与收敛性,-1
促销,促销,促销,经济学概念,11
预测分析,流行病学,循证医学与流行病学,生物与自然科学,4
实训项目,实践经验,课程理论与实践,教育研究与实践,13
基本子空间的正交关系,基本子空间的正交关系,基本子空间的正交关系,基本子空间的正交关系,-1
贵金属,性质,性质与特性,化学与物理性质,8
文献类型,文献类型,文献类型,类型分类,1
天道循环,天道循环,天道循环,中国古代文化,14
秦国制度特点,秦国制度特点,秦国制度特点,中国古代文化,14
均匀球壳,均匀球壳,物理性质,化学与物理性质,8
活动踪迹预测,活动踪迹预测,中心地理论,科学理论与方法,9
失效机制,失效机制,物价,经济学概念,11
物质代谢,生命科学,生物与地理科学,生物与自然科学,4
位置与中心概念,服务平台,服务平台管理,信息技术与管理,12
社会主义理论,社会主义理论,社会主义理论,法律与政治制度,10
众筹概念,众筹概念,货币与金融市场,经济体系与发展,16
统计学与测量,统计学与测量,计算机与信息系统相关术语,信息技术与管理,12
模式识别,模式识别,模式识别,类型分类,1
需求要素,需求要素,需求要素,经济学概念,11
沈博阳,沈博阳,荀子,中国古代文化,14
经济学知识体系,经济学知识体系,经济学知识体系,经济学概念,11
配合物命名,化学键与配合物,有机与无机化学知识,化学与物理性质,8
预设,预设,调查性报道,教育研究与实践,13
感知机,感知机,感知机,数据处理与编程知识,5
元素分类,性质,性质与特性,化学与物理性质,8
热导率分析,热导率分析,气体性质,化学与物理性质,8
财经报道与传播,财经报道与传播,财经报道与传播,财经报道与传播,-1
水分处理技术,水分处理技术,浓度,热力学与化学反应,7
伦敦旅游景点,植物景观设计与规划,植物景观与设计,生物与环境设计,2
西奈半岛,西奈半岛,西奈半岛,国际关系与协议,3
人际关系,国家与阶级关系,社会与政治关系,中东与中国历史政治研究,15
唐朝土地制度,唐朝土地制度,唐朝土地制度,中国古代文化,14
室外活动场地,空间规划,规划与设计,生物与环境设计,2
创新与创造力,教育活动,教育理念,教育研究与实践,13
AIDS,病毒感染,循证医学与流行病学,生物与自然科学,4
占卜与命理,占卜与命理,占卜与命理,中国古代文化,14
广播,广播,广播,信息技术与管理,12
儿童游戏场活动范围,空间规划,规划与设计,生物与环境设计,2
镜像变换,镜像变换,物理性质,化学与物理性质,8
哲学思想体系,哲学思想体系,哲学思想体系,中国古代文化,14
作者,作者,作者,作者,-1
踝关节稳定性,形态学,生物与地理科学,生物与自然科学,4
文件分配,文件分配,文件格式与内容管理,信息技术与管理,12
MBTI,MBTI,MBTI,类型分类,1
可逆的气道,呼吸生理学,生物与地理科学,生物与自然科学,4
机械能守恒,机械能守恒,机械能守恒,化学与物理性质,8
互联网金融产品,互联网金融产品,科技与支付系统,信息技术与管理,12
范氏气体临界点,范氏气体临界点,传热学概念,热力学与化学反应,7
教材编写,课程理论与实践,课程理论与实践,教育研究与实践,13
班级管理与教育,班级管理与教育,教育理论与实践,教育研究与实践,13
采购方案,商业,商业与产业,经济体系与发展,16
骨骼解剖学,骨骼解剖学,人与自然,生物与自然科学,4
党的指导思想,党的指导思想,设计领域,组织与评估设计,0
资金管理,资金管理,调查性报道,教育研究与实践,13
冷却负荷,冷却负荷,湿空气的状态,热力学与化学反应,7
指针,指针,数据结构,数据处理与编程知识,5
人机交互与虚拟现实,界面,计算机与信息系统相关术语,信息技术与管理,12
德行与美德,德行与美德,荀子,中国古代文化,14
法治理论,法治理论,法治理论,法律与政治制度,10
银,性质,性质与特性,化学与物理性质,8
投稿,投稿,投稿,科学理论与方法,9
评价与素养标准,评价与素养标准,教育理论与实践,教育研究与实践,13
因子图,模型理论,数学理论,科学理论与方法,9
离散化,离散化,离散化,数据处理与编程知识,5
自拍照,自拍照,自拍照,自拍照,-1
